,concept_name,count,count_emotion,count_sadness,count_joy,count_fear,count_anger,count_surprise,count_disgust,count_trust,count_anticipation,count_confusion,count_denial
376,parasitology,1.0,,,,,,,,,,,
377,parasitological,1.0,,,,,,,,,,,
378,Knee pain,2.0,2.0,1.0,,1.0,,,,,,,
379,Chronic Fatigue Syndrome,2.0,1.0,,,1.0,,,,,,,
380,Keratosis pilaris,1.0,1.0,,,1.0,,,,,,,
381,Dental White Spot,1.0,2.0,,,2.0,,,,,,,
382,Hay fever,1.0,,,,,,,,,,,
383,Neuropathy,2.0,3.0,,,1.0,,,,,1.0,1.0,
384,Cicatrix,5.0,6.0,1.0,,2.0,,,2.0,,,1.0,
385,Scar Tissue,5.0,5.0,1.0,,1.0,,,2.0,,,1.0,
386,Sexually Transmitted Diseases,6.0,6.0,1.0,,3.0,,,,,1.0,,1.0
387,Doryx,1.0,,,,,,,,,,,
388,Spinal Puncture,1.0,1.0,,,1.0,,,,,,,
389,Consent Type - Lumbar Puncture,1.0,,,,,,,,,,,
390,Diagnostic lumbar puncture,1.0,1.0,,,1.0,,,,,,,
391,Claustrophobia,1.0,1.0,,,1.0,,,,,,,
392,Anorexia,2.0,4.0,,1.0,2.0,,,1.0,,,,
393,Loss of Appetite question,1.0,1.0,,1.0,,,,,,,,
394,Loss of appetite (finding),2.0,4.0,,1.0,2.0,,,1.0,,,,
395,Sudden (qualifier value),3.0,2.0,,1.0,,,1.0,,,,,
396,Hemorrhoids,5.0,4.0,,,2.0,,,1.0,,,1.0,
397,Dyspnea,5.0,6.0,3.0,,2.0,,,,,,,1.0
398,Have you felt weak (question),1.0,,,,,,,,,,,
399,Palpitations,2.0,3.0,2.0,,1.0,,,,,,,
400,Weak,1.0,,,,,,,,,,,
401,Growth,2.0,2.0,1.0,,1.0,,,,,,,
402,Foot pain,4.0,2.0,,,1.0,1.0,,,,,,
403,Accutane,1.0,,,,,,,,,,,
404,Blockage (obstruction - finding),1.0,,,,,,,,,,,
405,Blockage within Medical Device,1.0,,,,,,,,,,,
406,Salivary Gland Infection,1.0,,,,,,,,,,,
407,"Salivary Gland Infection, CTCAE",1.0,,,,,,,,,,,
408,Sclerosis,1.0,,,,,,,,,,,
409,back surgery,1.0,,,,,,,,,,,
410,Dysmenorrhea,2.0,1.0,1.0,,,,,,,,,
411,Good,2.0,3.0,,,,1.0,1.0,,,,,1.0
412,Language Ability Proficiency - Good,2.0,2.0,,,,1.0,1.0,,,,,
413,Language Proficiency - Good,2.0,2.0,,,,1.0,1.0,,,,,
414,Specimen Quality - Good,2.0,2.0,,,,1.0,1.0,,,,,
415,therapist,2.0,1.0,,,,,,,,,,1.0
416,Operative Surgical Procedures,8.0,18.0,4.0,1.0,4.0,2.0,,,,2.0,2.0,3.0
417,Deviated nasal septum,1.0,,,,,,,,,,,
418,Familial Atypical Mole Melanoma Syndrome,1.0,,,,,,,,,,,
419,General surgery specialty,7.0,17.0,4.0,1.0,3.0,2.0,,,,2.0,2.0,3.0
420,Level of Care - Surgery,7.0,17.0,4.0,1.0,3.0,2.0,,,,2.0,2.0,3.0
421,Operation Activity,1.0,,,,,,,,,,,
422,Surgery specialty,7.0,17.0,4.0,1.0,3.0,2.0,,,,2.0,2.0,3.0
423,Surgical aspects,7.0,19.0,4.0,1.0,3.0,2.0,,1.0,,2.0,2.0,4.0
424,Ultrasonography,1.0,1.0,,,1.0,,,,,,,
425,Frequency,1.0,1.0,,,1.0,,,,,,,
426,Ultrasonic,1.0,1.0,,,1.0,,,,,,,
427,Ultrasonic Shockwave,1.0,1.0,,,1.0,,,,,,,
428,Abnormally high,2.0,2.0,1.0,,1.0,,,,,,,
429,CDISC SDTM Frequency Terminology,1.0,1.0,,,1.0,,,,,,,
430,Frequencies (time pattern),1.0,1.0,,,1.0,,,,,,,
431,High,2.0,3.0,1.0,,1.0,,,,,1.0,,
432,High (finding),2.0,2.0,1.0,,1.0,,,,,,,
433,High Level,2.0,2.0,1.0,,1.0,,,,,,,
434,High Mitosis-Karyorrhexis Index,2.0,2.0,1.0,,1.0,,,,,,,
435,How Often,1.0,1.0,,,1.0,,,,,,,
436,IPSS Risk Category High,2.0,2.0,1.0,,1.0,,,,,,,
437,IPSS-R Risk Category High,2.0,2.0,1.0,,1.0,,,,,,,
438,Message Waiting Priority - High,2.0,2.0,1.0,,1.0,,,,,,,
439,Observation Value - High,2.0,2.0,1.0,,1.0,,,,,,,
440,Ultrasonics (sound),1.0,1.0,,,1.0,,,,,,,
441,Value Above Reference Range,2.0,2.0,1.0,,1.0,,,,,,,
442,With frequency,1.0,1.0,,,1.0,,,,,,,
443,high - ActExposureLevelCode,2.0,2.0,1.0,,1.0,,,,,,,
444,ultra,1.0,,,,,,,,,,,
445,ultrasound device,1.0,1.0,,,1.0,,,,,,,
446,biology (field),1.0,,,,,,,,,,,
447,Right,2.0,8.0,2.0,,1.0,1.0,,1.0,,1.0,2.0,
448,Right sided,1.0,7.0,2.0,,1.0,1.0,,,,1.0,2.0,
449,Table Cell Horizontal Align - right,1.0,7.0,2.0,,1.0,1.0,,,,1.0,2.0,
450,Umbilicus (Anatomy),2.0,3.0,,,1.0,,,1.0,,,1.0,
451,Specimen Source Codes - Cyst,3.0,5.0,1.0,,2.0,1.0,,,,,1.0,
452,SpecimenType - Cyst,3.0,5.0,1.0,,2.0,1.0,,,,,1.0,
453,Immunology,1.0,,,,,,,,,,,
454,Drug Delivery Systems,2.0,1.0,1.0,,,,,,,,,
455,Device system,2.0,1.0,1.0,,,,,,,,,
456,Drug Delivery System Category,2.0,1.0,1.0,,,,,,,,,
457,System,2.0,1.0,1.0,,,,,,,,,
458,System - kit,2.0,1.0,1.0,,,,,,,,,
459,immunologic,1.0,,,,,,,,,,,
460,Skin Pigmentation,1.0,,,,,,,,,,,
461,Changing,1.0,1.0,,,,,,,,,,1.0
462,Periorbital hyperpigmentation,1.0,,,,,,,,,,,
463,Skin pigmentation - finding,1.0,,,,,,,,,,,
464,Alcohol consumption,2.0,,,,,,,,,,,
465,Smoking,3.0,5.0,,1.0,1.0,1.0,,,,,1.0,1.0
466,Drinking function,2.0,,,,,,,,,,,
467,Location characteristic ID - Smoking,3.0,5.0,,1.0,1.0,1.0,,,,,1.0,1.0
468,Medical Device Emits Smoke,3.0,5.0,,1.0,1.0,1.0,,,,,1.0,1.0
469,Stop (Instruction Imperative),2.0,6.0,2.0,,2.0,,1.0,,,,,1.0
470,Stop (qualifier value),2.0,7.0,2.0,,2.0,,1.0,,,,,2.0
471,Tobacco smoking behavior,3.0,5.0,,1.0,1.0,1.0,,,,,1.0,1.0
472,Allergic Reaction,4.0,4.0,,,1.0,,1.0,,,1.0,1.0,
473,"Allergic Reaction, CTCAE",2.0,1.0,,,,,,,,,1.0,
474,omega-3 fatty acids,1.0,,,,,,,,,,,
475,collagen,1.0,,,,,,,,,,,
476,Pituitary Gland,1.0,,,,,,,,,,,
477,Human Growth Hormone,1.0,,,,,,,,,,,
478,somatropin,1.0,,,,,,,,,,,
479,Pituitary Diseases,1.0,,,,,,,,,,,
480,Aging,1.0,,,,,,,,,,,
481,Pituitary hormone preparation,1.0,,,,,,,,,,,
482,Bulla,3.0,4.0,1.0,,1.0,1.0,,,,1.0,,
483,Abnormal blistering of the skin,2.0,3.0,1.0,,1.0,,,,,1.0,,
484,Blistering eruption,3.0,4.0,1.0,,1.0,1.0,,,,1.0,,
485,Entire foot,2.0,,,,,,,,,,,
486,Infectious Mononucleosis,1.0,1.0,,,,,,,,,,1.0
487,Mono Indians,1.0,1.0,,,,,,,,,,1.0
488,Monocyte count procedure,1.0,1.0,,,,,,,,,,1.0
489,Paresthesia,1.0,2.0,,,1.0,,,,,,,1.0
490,Entire limb,1.0,,,,,,,,,,,
491,Has tingling sensation,1.0,2.0,,,1.0,,,,,,,1.0
492,Limb structure,1.0,,,,,,,,,,,
493,"Anal Pain, CTCAE 5",1.0,,,,,,,,,,,
494,Anal pain,2.0,4.0,1.0,,1.0,,,,,1.0,1.0,
495,Diabetic Diet,1.0,,,,,,,,,,,
496,Malignant Neoplasms,10.0,29.0,6.0,,12.0,2.0,,,,4.0,4.0,1.0
497,Cancer:-:Point in time:^Patient:-,10.0,29.0,6.0,,12.0,2.0,,,,4.0,4.0,1.0
498,Primary malignant neoplasm,10.0,29.0,6.0,,12.0,2.0,,,,4.0,4.0,1.0
499,Specialty Type - cancer,10.0,29.0,6.0,,12.0,2.0,,,,4.0,4.0,1.0
500,Back,5.0,16.0,5.0,1.0,5.0,,,2.0,,2.0,,1.0
501,"Back structure, excluding neck",5.0,16.0,5.0,1.0,5.0,,,2.0,,2.0,,1.0
502,"Back structure, including back of neck",5.0,16.0,5.0,1.0,5.0,,,2.0,,2.0,,1.0
503,Dorsal,7.0,19.0,5.0,1.0,7.0,,,2.0,,3.0,,1.0
504,Entire back (surface region),5.0,16.0,5.0,1.0,5.0,,,2.0,,2.0,,1.0
505,Bad protein,1.0,14.0,4.0,,5.0,,,2.0,,1.0,1.0,1.0
506,Acne Vulgaris,9.0,5.0,,,,2.0,,1.0,,1.0,1.0,
507,Acne,9.0,5.0,,,,2.0,,1.0,,1.0,1.0,
508,Bad,1.0,15.0,4.0,,6.0,,,2.0,,1.0,1.0,1.0
509,Brachial Amyotrophic Diplegia,1.0,14.0,4.0,,5.0,,,2.0,,1.0,1.0,1.0
510,Hypotension,2.0,,,,,,,,,,,
511,Vomiting,5.0,6.0,,,4.0,,,2.0,,,,
512,Bothered by Vomiting,4.0,5.0,,,3.0,,,2.0,,,,
513,Have Been Vomiting,4.0,5.0,,,3.0,,,2.0,,,,
514,How Much Distress Vomiting,4.0,5.0,,,3.0,,,2.0,,,,
515,How Often Vomiting,4.0,5.0,,,3.0,,,2.0,,,,
516,Usual Severity Vomiting,4.0,5.0,,,3.0,,,2.0,,,,
517,"Vomiting, CTCAE",4.0,5.0,,,3.0,,,2.0,,,,
518,Chronic cough,1.0,,,,,,,,,,,
519,Administration via Implantation,2.0,3.0,,,2.0,,,,,1.0,,
520,"Blastocyst Implantation, natural",2.0,3.0,,,2.0,,,,,1.0,,
521,Implantation - action,2.0,3.0,,,2.0,,,,,1.0,,
522,Implantation Method of Administration,2.0,3.0,,,2.0,,,,,1.0,,
523,Implantation procedure,2.0,3.0,,,2.0,,,,,1.0,,
524,Oral herpes simplex infection,1.0,,,,,,,,,,,
525,Breast tenderness,2.0,2.0,,,,1.0,,1.0,,,,
526,Chronic - Admission Level of Care Code,6.0,7.0,4.0,,,,,,,1.0,2.0,
527,Provision of recurring care for chronic illness,6.0,7.0,4.0,,,,,,,1.0,2.0,
528,chronic,6.0,7.0,4.0,,,,,,,1.0,2.0,
529,Pelvic Pain,3.0,4.0,1.0,,1.0,,,1.0,,,1.0,
530,"Pelvic Pain, CTCAE 5.0",2.0,2.0,,,,,,1.0,,,1.0,
531,Pelvic pain female,2.0,2.0,,,,,,1.0,,,1.0,
532,Stomach Diseases,9.0,5.0,1.0,,1.0,,,1.0,,1.0,,1.0
533,Entire stomach,9.0,5.0,1.0,,1.0,,,1.0,,1.0,,1.0
534,Stomach structure,9.0,5.0,1.0,,1.0,,,1.0,,1.0,,1.0
535,Bleeding tendency,1.0,,,,,,,,,,,
536,"Vaginal Pain, CTCAE 5.0",2.0,,,,,,,,,,,
537,Vaginal pain,2.0,,,,,,,,,,,
538,Dizziness,12.0,13.0,1.0,,7.0,1.0,,,,1.0,3.0,
539,Lightheadedness,3.0,3.0,1.0,,1.0,,,,,1.0,,
540,Nose,3.0,3.0,,,1.0,,,,,2.0,,
541,Erythema,2.0,1.0,,,,,,,,1.0,,
542,Nose Diseases,3.0,3.0,,,1.0,,,,,2.0,,
543,Entire nose,3.0,3.0,,,1.0,,,,,2.0,,
544,Testis,1.0,,,,,,,,,,,
545,Entire testicle,1.0,,,,,,,,,,,
546,Cystitis,2.0,3.0,,,1.0,1.0,,,,,1.0,
547,"Bladder Infection, CTCAE 5",1.0,2.0,,,1.0,,,,,,1.0,
548,Infective cystitis,1.0,2.0,,,1.0,,,,,,1.0,
549,Ever told by doctor or nurse that you have high blood pressure:Finding:Point in time:^Patient:Ordinal,2.0,2.0,,,1.0,,,1.0,,,,
550,Hypertensive disease,3.0,7.0,1.0,,3.0,,,2.0,,,,1.0
551,Chemical Burns,1.0,,,,,,,,,,,
552,Fertility,1.0,2.0,,,1.0,,,,,1.0,,
553,Cryotherapy,1.0,,,,,,,,,,,
554,Fertility Domain,1.0,1.0,,,1.0,,,,,,,
555,Infertility study,1.0,1.0,,,1.0,,,,,,,
556,Pneumonia,3.0,2.0,,,1.0,,,,,,1.0,
557,Cutaneous Fistula,4.0,,,,,,,,,,,
558,Nasal sinus,5.0,,,,,,,,,,,
559,Sinus - general anatomical term,4.0,,,,,,,,,,,
560,pathologic fistula,5.0,,,,,,,,,,,
561,Ichthyosis Bullosa of Siemens,2.0,,,,,,,,,,,
562,Irritable Bowel Syndrome,2.0,1.0,1.0,,,,,,,,,
563,Dicetel,1.0,,,,,,,,,,,
564,Fatigue,4.0,7.0,3.0,,4.0,,,,,,,
565,Abdomen distended,2.0,,,,,,,,,,,
566,Abdominal bloating,2.0,,,,,,,,,,,
567,"Bloating, CTCAE",2.0,,,,,,,,,,,
568,Fatigue Subordinate Domain,3.0,3.0,2.0,,1.0,,,,,,,
569,"Fatigue, CTCAE 5.0",3.0,3.0,2.0,,1.0,,,,,,,
570,Feel Fatigue,3.0,3.0,2.0,,1.0,,,,,,,
571,Respiratory distress,2.0,,,,,,,,,,,
572,amoxicillin,1.0,,,,,,,,,,,
573,Shoulder,1.0,2.0,1.0,,1.0,,,,,,,
574,Entire shoulder region,1.0,,,,,,,,,,,
575,Problems - What subject filter,15.0,23.0,7.0,,4.0,3.0,1.0,3.0,,1.0,3.0,1.0
576,Urinary tract infection,8.0,6.0,2.0,,2.0,,,,,1.0,1.0,
577,Recurrent urinary tract infection,7.0,3.0,1.0,,1.0,,,,,1.0,,
578,"Urinary Tract Infection, CTCAE",5.0,1.0,1.0,,,,,,,,,
579,MRSA - Methicillin resistant Staphylococcus aureus infection,1.0,,,,,,,,,,,
580,Condylomata Acuminata,3.0,1.0,,,1.0,,,,,,,
581,Early,1.0,1.0,,,,,,,,,1.0,
582,Language Ability - Sign,2.0,4.0,,,2.0,,,,,1.0,1.0,
583,Physical findings,5.0,7.0,2.0,,3.0,,,,,1.0,1.0,
584,Personality Disorders,2.0,2.0,1.0,,,,,,,1.0,,
585,Knee,4.0,2.0,,,,,,,,1.0,1.0,
586,Knee joint,2.0,2.0,,,1.0,,,,,,1.0,
587,Entire knee region,2.0,1.0,,,,,,,,,1.0,
588,Knee region structure,2.0,1.0,,,,,,,,,1.0,
589,Condyloma,1.0,,,,,,,,,,,
590,Ankle,6.0,3.0,,,2.0,,,,,,1.0,
591,Amphetamines,1.0,,,,,,,,,,,
592,Heart Diseases,3.0,1.0,,,,,,,,,1.0,
593,"Poisoning by, adverse effect of and underdosing of amphetamines",1.0,,,,,,,,,,,
594,Veins,1.0,,,,,,,,,,,
595,Aberrant,1.0,,,,,,,,,,,
596,Entire vein,1.0,,,,,,,,,,,
597,Blood glucose measurement,2.0,2.0,,,,1.0,1.0,,,,,
598,Ankle joint structure,4.0,1.0,,,1.0,,,,,,,
599,Chelation Therapy,1.0,,,,,,,,,,,
600,"herpesvirus 2, human",1.0,,,,,,,,,,,
601,Asthma,12.0,6.0,1.0,,3.0,1.0,,,,,1.0,
602,Asthma Pathway,12.0,6.0,1.0,,3.0,1.0,,,,,1.0,
603,Upper back structure,1.0,1.0,,,1.0,,,,,,,
604,Human Papilloma Virus Vaccine,2.0,2.0,1.0,,,1.0,,,,,,
605,"Hemorrhoids, CTCAE 3.0",4.0,3.0,,,1.0,,,1.0,,,1.0,
606,"Hemorrhoids, CTCAE 5.0",4.0,3.0,,,1.0,,,1.0,,,1.0,
607,Periodontal Diseases,1.0,,,,,,,,,,,
608,"Periodontal Disease, CTCAE",1.0,,,,,,,,,,,
609,Eruptions,7.0,5.0,2.0,,2.0,1.0,,,,,,
610,Magnetic Resonance Imaging,3.0,5.0,,,2.0,,,,,2.0,1.0,
611,Blood Products Laboratory Testing,3.0,6.0,2.0,,1.0,,,,,1.0,1.0,1.0
612,Laboratory Procedures,3.0,9.0,2.0,,1.0,,,,,2.0,2.0,2.0
613,Magnetic Resonance Imaging Study File,3.0,5.0,,,2.0,,,,,2.0,1.0,
614,Test - temporal region,3.0,6.0,2.0,,1.0,,,,,1.0,1.0,1.0
615,Test Name,3.0,6.0,2.0,,1.0,,,,,1.0,1.0,1.0
616,Testing,3.0,6.0,2.0,,1.0,,,,,1.0,1.0,1.0
617,Tests (qualifier value),3.0,9.0,2.0,,1.0,,,,,2.0,2.0,2.0
618,Neck,3.0,10.0,1.0,,5.0,,,,,2.0,2.0,
619,Entire neck,3.0,9.0,1.0,,5.0,,,,,2.0,1.0,
620,Mass of body structure,8.0,12.0,1.0,,5.0,1.0,,1.0,,,4.0,
621,Neck of pancreas,3.0,9.0,1.0,,5.0,,,,,2.0,1.0,
622,Neck of urinary bladder,3.0,9.0,1.0,,5.0,,,,,2.0,1.0,
623,Communicable Diseases,10.0,7.0,2.0,,2.0,,,,,,3.0,
624,Radiating pain,1.0,,,,,,,,,,,
625,Adverse Event Associated with Infection,10.0,7.0,2.0,,2.0,,,,,,3.0,
626,Infection,10.0,8.0,2.0,,3.0,,,,,,3.0,
627,Shoulder Pain,2.0,1.0,1.0,,,,,,,,,
628,Liver diseases,1.0,1.0,,,1.0,,,,,,,
629,Diagnosis,1.0,6.0,1.0,,1.0,1.0,,,,,1.0,2.0
630,Diagnosis Code,1.0,3.0,,,1.0,,,,,,1.0,1.0
631,Diagnosis:Impression/interpretation of study:Point in time:^Patient:Nominal,1.0,3.0,,,1.0,,,,,,1.0,1.0
632,diagnosis aspect,1.0,3.0,,,1.0,,,,,,1.0,1.0
633,Infective vaginitis,1.0,,,,,,,,,,,
634,"Vaginal Infection, CTCAE",1.0,,,,,,,,,,,
635,S-adenosylmethionine,2.0,5.0,,,,,,,,,2.0,3.0
636,Time,3.0,7.0,1.0,,2.0,,,,,1.0,2.0,1.0
637,Alert level - Serious,2.0,2.0,1.0,,1.0,,,,,,,
638,Data types - Time,3.0,6.0,1.0,,1.0,,,,,1.0,2.0,1.0
639,Device Alert Level - Serious,2.0,2.0,1.0,,1.0,,,,,,,
640,Equipment Alert Level - Serious,2.0,2.0,1.0,,1.0,,,,,,,
641,Integumentary scale,2.0,,,,,,,,,,,
642,Same,2.0,5.0,,,,,,,,,2.0,3.0
643,Serious,2.0,2.0,1.0,,1.0,,,,,,,
644,Sole of Foot,1.0,,,,,,,,,,,
645,Time (foundation metadata concept),3.0,6.0,1.0,,1.0,,,,,1.0,2.0,1.0
646,Value type - Time,3.0,6.0,1.0,,1.0,,,,,1.0,2.0,1.0
647,Weight measurement scales,2.0,,,,,,,,,,,
648,same - RoleClassOntological,2.0,5.0,,,,,,,,,2.0,3.0
649,Gluten,1.0,,,,,,,,,,,
650,Pain in wrist,1.0,,,,,,,,,,,
651,"Alcoholic Intoxication, Chronic",2.0,,,,,,,,,,,
652,"Bacterial stain, routine",1.0,,,,,,,,,,,
653,Ventricular Septal Defects,1.0,,,,,,,,,,,
654,Acne scar,1.0,,,,,,,,,,,
655,Reducing diet,1.0,,,,,,,,,,,
656,Exercise,3.0,4.0,1.0,,,,,1.0,,,1.0,1.0
657,Admission Type - Routine,1.0,,,,,,,,,,,
658,Exercise Pain Management,3.0,3.0,1.0,,,,,1.0,,,1.0,
659,Extended Priority Codes - Routine,1.0,,,,,,,,,,,
660,Level of Care - Routine,1.0,,,,,,,,,,,
661,Priority - Routine,1.0,,,,,,,,,,,
662,Processing priority - Routine,1.0,,,,,,,,,,,
663,Referral priority - Routine,1.0,,,,,,,,,,,
664,Report priority - Routine,1.0,,,,,,,,,,,
665,Routine,1.0,,,,,,,,,,,
666,iron,3.0,,,,,,,,,,,
667,"Ferrum metallicum, Homeopathic preparation",3.0,,,,,,,,,,,
668,Iron Drug Class,3.0,,,,,,,,,,,
669,Iron measurement,3.0,,,,,,,,,,,
670,Too much,1.0,1.0,1.0,,,,,,,,,
671,Simplexvirus,1.0,,,,,,,,,,,
672,Human herpes simplex virus,1.0,,,,,,,,,,,
673,Burning sensation,1.0,2.0,,,2.0,,,,,,,
674,Burning sensation quality,1.0,,,,,,,,,,,
675,Smoking Method of Administration,1.0,,,,,,,,,,,
676,Migraine Disorders,12.0,16.0,6.0,,4.0,2.0,,2.0,,1.0,1.0,
677,Deficiency,1.0,,,,,,,,,,,
678,albuterol,1.0,,,,,,,,,,,
679,Bronchitis,2.0,1.0,1.0,,,,,,,,,
680,Facilitated oscillatory release technique,20.0,51.0,6.0,,9.0,2.0,4.0,2.0,1.0,9.0,13.0,5.0
681,Preposition For,20.0,51.0,6.0,,9.0,2.0,4.0,2.0,1.0,9.0,13.0,5.0
682,Food Poisoning,2.0,2.0,,,2.0,,,,,,,
683,Pork,1.0,,,,,,,,,,,
684,Bone structure of rib,3.0,4.0,,,,,1.0,,,1.0,1.0,1.0
685,pork allergenic extract,1.0,,,,,,,,,,,
686,Osteopathic physician,1.0,,,,,,,,,,,
687,Osteopath (occupation),1.0,,,,,,,,,,,
688,"Disk, Herniated",2.0,,,,,,,,,,,
689,Intervertebral Disk Displacement,2.0,,,,,,,,,,,
690,Epidermal cGVHD Score 2,4.0,5.0,1.0,,2.0,,,,,1.0,,1.0
691,Mild Adverse Event,4.0,5.0,1.0,,2.0,,,,,1.0,,1.0
692,Mild Allergy Severity,4.0,5.0,1.0,,2.0,,,,,1.0,,1.0
693,Mild Hallucination,4.0,5.0,1.0,,2.0,,,,,1.0,,1.0
694,Mild Severity of Illness Code,4.0,5.0,1.0,,2.0,,,,,1.0,,1.0
695,Lung,3.0,1.0,,,,,,,,1.0,,
696,Abnormally opaque structure (morphologic abnormality),1.0,,,,,,,,,,,
697,Bottom,1.0,3.0,1.0,,,,,,,1.0,1.0,
698,Decreased translucency,1.0,,,,,,,,,,,
699,Shadow,1.0,,,,,,,,,,,
700,TableCellVerticalAlign - bottom,1.0,3.0,1.0,,,,,,,1.0,1.0,
701,Triangular,1.0,,,,,,,,,,,
702,part of,1.0,,,,,,,,,,,
703,Head,2.0,5.0,,,2.0,1.0,,1.0,,1.0,,
704,Act Relationship Checkpoint - through,1.0,3.0,1.0,,1.0,1.0,,,,,,
705,Entire head,2.0,5.0,,,2.0,1.0,,1.0,,1.0,,
706,Head - Component of Device,2.0,5.0,,,2.0,1.0,,1.0,,1.0,,
707,Sharp pain,1.0,2.0,,,1.0,,,,,1.0,,
708,Through,1.0,3.0,1.0,,1.0,1.0,,,,,,
709,"Contraceptives, Oral",6.0,10.0,3.0,1.0,1.0,,1.0,1.0,1.0,,2.0,
710,Seasonique,1.0,,,,,,,,,,,
711,Pills,4.0,15.0,7.0,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0
712,Electroconvulsive Therapy,1.0,,,,,,,,,,,
713,Benign Rolandic Epilepsy,1.0,,,,,,,,,,,
714,Convulsive therapy,1.0,,,,,,,,,,,
715,Ecarin Clotting Time Measurement,1.0,,,,,,,,,,,
716,Ectomesenchymal Chondromyxoid Tumor,1.0,,,,,,,,,,,
717,convulsive,1.0,,,,,,,,,,,
718,Aortic valve structure,1.0,1.0,,,,,,,,,1.0,
719,Entire aortic valve,1.0,1.0,,,,,,,,,1.0,
720,Nerve injury,1.0,2.0,,,1.0,,,,,1.0,,
721,Vagina,2.0,3.0,,,1.0,,1.0,,,1.0,,
722,Vaginal Diseases,2.0,3.0,,,1.0,,1.0,,,1.0,,
723,Entire vagina,2.0,3.0,,,1.0,,1.0,,,1.0,,
724,LEFT SIDE (USED TO IDENTIFY PROCEDURES PERFORMED ON THE LEFT SIDE OF THE BODY),1.0,9.0,,,5.0,,1.0,,,2.0,1.0,
725,Left,1.0,13.0,1.0,,5.0,,1.0,,,3.0,3.0,
726,Mouse Vagina,2.0,3.0,,,1.0,,1.0,,,1.0,,
727,Myocardial Infarction,5.0,7.0,2.0,,4.0,,,1.0,,,,
728,Temper tantrum,2.0,2.0,1.0,,1.0,,,,,,,
729,"Leukemia, Mast-Cell",1.0,,,,,,,,,,,
730,Mantle cell lymphoma,1.0,,,,,,,,,,,
731,Hereditary Leiomyomatosis and Renal Cell Cancer,1.0,,,,,,,,,,,
732,Consortium for Molecular and Cellular Characterization of Screen-Detected Lesions,1.0,,,,,,,,,,,
733,Entire medial meniscus,1.0,,,,,,,,,,,
734,Finding of tear meniscus (eye),1.0,,,,,,,,,,,
735,Medial collateral ligament,1.0,,,,,,,,,,,
736,Medial meniscus structure,1.0,,,,,,,,,,,
737,Minor (person),1.0,,,,,,,,,,,
738,Minor (value),1.0,,,,,,,,,,,
739,Dermatologic disorders,1.0,1.0,,,,,,,,1.0,,
740,Epilepsy,3.0,,,,,,,,,,,
741,Eczema,7.0,9.0,2.0,,2.0,,,1.0,1.0,,1.0,2.0
742,"Eczema, CTCAE",7.0,9.0,2.0,,2.0,,,1.0,1.0,,1.0,2.0
743,Bulimia,1.0,3.0,1.0,,2.0,,,,,,,
744,Bulimia Nervosa,1.0,3.0,1.0,,2.0,,,,,,,
745,Gingiva,2.0,2.0,,,1.0,,,,,1.0,,
746,Gum Dosage Form Category,1.0,2.0,,,1.0,,,,,1.0,,
747,Gum Dose Form,1.0,2.0,,,1.0,,,,,1.0,,
748,Gum as an ingredient,1.0,2.0,,,1.0,,,,,1.0,,
749,Entire ankle region,3.0,1.0,,,1.0,,,,,,,
750,Tonsillectomy,2.0,4.0,,,1.0,,,,,2.0,,1.0
751,Cellulitis,1.0,1.0,,,1.0,,,,,,,
752,RIGHT SIDE (USED TO IDENTIFY PROCEDURES PERFORMED ON THE RIGHT SIDE OF THE BODY),1.0,1.0,,,,,,1.0,,,,
753,side pain,1.0,,,,,,,,,,,
754,"Diabetes Mellitus, Non-Insulin-Dependent",1.0,3.0,1.0,,1.0,,,,,,,1.0
755,Panic Attacks,3.0,4.0,2.0,,2.0,,,,,,,
756,Abscess,1.0,3.0,1.0,,,,,,,1.0,1.0,
757,problems with speech,1.0,1.0,,,1.0,,,,,,,
758,Intramedullary (qualifier value),1.0,2.0,1.0,,,1.0,,,,,,
759,Intramedullary Route of Drug Administration,1.0,2.0,1.0,,,1.0,,,,,,
760,Stress,5.0,8.0,3.0,,3.0,,,1.0,,,1.0,
761,Stress bismuth subsalicylate,5.0,8.0,3.0,,3.0,,,1.0,,,1.0,
762,W stress,5.0,8.0,3.0,,3.0,,,1.0,,,1.0,
763,Psyche structure,1.0,2.0,2.0,,,,,,,,,
764,Knee Injuries,4.0,2.0,2.0,,,,,,,,,
765,Seizures,5.0,9.0,2.0,,1.0,,1.0,,,2.0,2.0,1.0
766,Gastroesophageal reflux disease,2.0,1.0,,,1.0,,,,,,,
767,Supraventricular tachycardia,1.0,,,,,,,,,,,
768,Supraventricular Tachycardia by ECG Finding,1.0,,,,,,,,,,,
769,"Supraventricular Tachycardia, CTCAE",1.0,,,,,,,,,,,
770,lactate,1.0,1.0,,,,,,1.0,,,,
771,Lactic acid measurement,1.0,1.0,,,,,,1.0,,,,
772,Long-term,1.0,,,,,,,,,,,
773,Substance abuse problem,1.0,,,,,,,,,,,
774,Hysterectomy,5.0,4.0,,,1.0,,,,,,3.0,
775,Consent Type - Hysterectomy,5.0,4.0,,,1.0,,,,,,3.0,
776,Child,6.0,13.0,6.0,,6.0,,,,,,,1.0
777,Child Relation,6.0,11.0,5.0,,5.0,,,,,,,1.0
778,In addition to,9.0,52.0,16.0,1.0,11.0,6.0,3.0,2.0,,5.0,3.0,5.0
