idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,informational_support,emotional_support,esteem_support,tangible_support,network_support,support_needs
3686243,Can mixing Singular and Claritin cause an allergic reaction?,"A co-worker had an apparent allergic reaction, and the culprit unknown.  She was taking Singular, and asked the pharmacist if she could also take Claritin.  The pharmacist told her that was not a problem.  She did take a generic version of Claritin, and approximately 5 hours later the allergic reaction began, swelling of the face, itching, redness.  She can think of nothing else that could have possibly cause the reaction.  Her husband was with her all evening and had no sypmtons of any kind.  Could mixing the two medicines have caused the reaction, and could taking the generic medicine be a factor.","NO, mixing Singular (a luekotriene blocker) with Claritin (an H1 histamine blocker) will not cause an allergic reaction, and many many people take both drugs without any problems. And generic drugs are the basically the same as name-brand, so that isn't the problem. She may be allergic to something in the Claritin, or it could have been an allergic reaction to something else.. Most likely food or another medication considering the symptoms. Obviously she already has allergies or mast cell problems since she is taking Singular and an antihistamine to begin with....",allergic reaction,,,NA,,,,,,,,,,,,,NA,NA,,,,,,,Yes,Can mixing Singular and Claritin cause an allergic reaction?,,,,,Not applicable
2328101,can munchausens be classed to a 40 year old female who cares for her elderly parent who has cancer?,"the person has obsessive behaviour such as spotlessly clean home.that seems to be more monumental than lived in.other traits  are constant reporting to health professionals about unsuitable workers.
giving misleading information to doctors,such as stating the parent is constipated which ends with the patient having evasive treatment. demanding medication for pain then refuses to give it because the patient has not eaten, then telling other hca s she is eating well. the patient does not have long left to live she has dementia and is unable to speak.","From what I understand then yes she could be, I could go into the why's, the if's etc. but that wont help, if you have serious concerns about this person then contact the police, that is the best thing to do.",munchausens,,,NA,,,,,,,,,,,,,,,,,,,NA,NA,Yes,can munchausens be classed to a 40 year old female who cares for her elderly parent who has cancer?,,,,,Not applicable
3651442,Stuffy nose?,"My 18 months old have a stuffy nose with this liquid clear moucus and is conggested, she doesn�t have any fever and she play for a little while in the morning, she eat her breackfast and some lunch because the conggestion didn�t let her breath while she was chewing, now I'm gonna wait a little while to offer her dinner, but does anybody have any idea what this is and how can I treat it?? I think is an allergy and try to reach her pediatrician but is gone since the morning and haven�t answer me.","Well, u said the mucus is clear, which is a good sign. If it were green she might have an upper respiratory infection. I think she just has a little cold. Just have her sleep on her side, drink plenty of fluids, like Pedialyte, give her infants cold medicine. Just keep checking her temp. If she does get a temp, try a lukewarm bath and a cool rag on the back of the neck and groin area. If she gets a temp 200 or more, u will need to take her to a doctor. If you think it is an allergy, have u fed her any different food or drink that she has never had before? If not, it might just be dust and dander. Get an Oreck air purifier. They work wonders for the home. My son has terrible allergies and they have hardly acted up since I got my Oreck. If these symptoms continue in the next couple days I would suggest a quick check up with the doctor.",Stuffy nose,,,,,,,,,,,,,,,,NA,NA,,,,,,,Yes,does anybody have any idea what this is and how can I treat it??,,,,,Not applicable
3280859,"Jont Relief Formula with Omega-3 and Iceland Collagen GHA.  Have you used it for Arthritis,  Blood Pressure?","What results have you had, good or bad?  How long have you used it?  I saw it advertised on TV.  Ordered one bottle to try.
I am looking for a non-prescription, safe, no side-effects product to increase blood flow, lower blood pressure and act as an anti-inflammatory.  I took the first capsule today.  The directions say
one a day but according to the bottle a """"serving"""" is 2 capsules.
Looking for experience with this product or the problem.","I have not used these products because I am allergic to shellfish, but my husband has and has helped with his arthritic knees. He takes the serving number - 1/2 in the morning and the other 1/2 at dinner time-- hope I was helpful.",Omega-3 and Iceland Collagen GHA,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,Yes,"I am looking for a non-prescription, safe, no side-effects product to increase blood flow, lower blood pressure and act as an anti-inflammatory.",,,,,Not applicable
395547,About Human Growth Hormone and Anti Aging and LAZY Pituitary syndrome.?,"I am wondering if one gets to use H.G.H for a long time(say a year or so at least)if that would make the indigeneous secretion of H.G.H by the Pituitary decrease and when and if you stop using the medication if the bodys own secretion will not pick up again (called LAZY PITUITARY SYNDROME) and you will then age even faster than you would have in the first place.Any professional colleagues with an insite into this predicament, as I have not been able to find a definite answer anywhere!","Your best answer to this is how old someone is.

Teens and up to 25yr olds produce enough from the pituitary gland. It's only as we age pass this, does production slow down. It does'nt stop though - people who work out hard and regular show increased levels in comparison to others. 

There is no evidence to date that if you supplement, then stop - your natural production will decrease further because of the 'un-natural' supplementation.

We looked into this with the rave drug 'xtasy' (MDA) and the release of serotonin - once again, the neurotransmitters regulated themselves. This was only one study though.

I'm not a Phd - just someone with experience.",Human Growth Hormone and Anti Aging and LAZY Pituitary syndrome,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,Yes,I am wondering if one gets to use H.G.H for a long time(say a year or so at least)if that would make the indigeneous secretion of H.G.H by the Pituitary decrease and when and if you stop using the medication if the bodys own secretion will not pick up again,,,,,No
2009567,What is a foot skin rash with large water-filled blisters?,"Ever since I returned from Viet Nam I regularly get a red, stinging, itching spots between my toes that finally manifest in large water-filled bulbuous blisters that still sting and itch. The blisters finally break and slowly heal over a week with the stinging and itching. It does not respond to normal Athlete's Foot meds and does not look like athletes foot I had experienced prior. The bubble like blisters are the most dominant characteristic. If I can put a name to it, hopefully I can find a specific med to put on it. Many thanks","Where you in the military when you came back from Viet Nam?  If so, go to your closest VA Medical Center and they will take care of you.  If not, it's something you need to go to your doctor for, ASAP!",foot blisters,,,,,,,,,,,,,,,,NA,NA,,,,,,,Yes,"If I can put a name to it, hopefully I can find a specific med to put on it.",,,,,Not applicable
4205999,Can you catch mono without kissing someone that has it?,"My bf's roommate had mono last week.  Well, my bf's roommate is a guy and they don't kiss each other.   They may cough on each other, but they're both straight.  I went out with my bf last weekend and we kissed a bit.  This weekend, this morning, I woke up with a headache and sore throat.  I was tired all morning and afternoon.  I took a nap and now I feel a little better, but who knows about tomorrow.  I don't have a runny nose, fever or cough.  Is it possible I caught mono somehow?  or is it something else?","Yes, if you swap saliva. Why do you think they call it the kissing disease?",mono,,Female,NA,,,,,,,,,,,,,NA,NA,,,,,,,Yes,Is it possible I caught mono somehow?,,,,,Not applicable
3125475,Do you have tingling and numbness in your limbs? What do you do about it?,"I've just been diagnosed prediabetic.  I am having tingling and numbness in my my hands and limbs. My dr. has told me to loose weight and put me on Glucophage, so I've got a start here.

My question is, how do you deal with the numbness and tingling.  
Is there anything special you do to make it go away, other than sticking to diet and medication?  

How long does is usually take for it to heal?

Any other information is welcome.

Thanks.","This is a form of neuropathy.  It can be caused by many different things but mostly the onset of a diabetic reaction of some sort.  A good diet, watching your blood sugar levels and getting plenty of exercise to increase circulation should help.  It has for me.",limb tingling and numbness,,,,,,,,,,,,,,,,NA,NA,,,,,,,Yes,"Is there anything special you do to make it go away, other than sticking to diet and medication?",,,,,Not applicable
3172576,Anal pain?,"OK, hold the jokes here people because everyone knows what you are thinking.

1. I have an ordinary diet and am fairly fit

2. No anal sex or difficulty passing solids

3. No history of medical illness beyond the usual snuffles

4. No physical pain except...

....quite often I get severe, agonising second-long shooting pains just inside my anus, they literally are crippling but are thankfully rare and brief; they seem to go from the back of my scrotal sac to, I believe, the colon...?

I know that you're thinking see a doctor and I will, but just wondered if anyone had any ideas or recollections? I am twenty, if that helps and a male of average build.

Thanks","I think it may be a hemorrhoid- they're little blood vessels that pop when you (no joke) poop too hard. They probably hurt a lot, and so you should go to the doctor to see if they are hemorrhoids. Anyway, I think that's completely normal, but I'm not 100% sure.
If it's in your scrotum.....then maybe you should see a doctor.",Anal pain,18-24 years old,Male,NA,,,,,,,,,,,,,NA,NA,,,,,,,Yes,just wondered if anyone had any ideas or recollections?,,,,,Not applicable
2062025,What is the basic principal of eating as a diabetic?,"I have recently been diagnosed as a """"borderline diabetic"""".  

I am almost 41 years old.  I have illiminated sugar and white flour to the best of my ability from my diet and eat three meals a day with a snack in the evening.  So far, I have lost 15 pounds in 30 days; my current weight is 235.0 lbs and I am 5'10"""".  

My question is, what is the basic principal of eating as a diabetic?  Is there an amount of protein/carbs/fat that one should eat to maintain a constant glucose level in the blood?  Or a specific timing?  

Thank you so much for your help.","Limit your carb intake. The body turns all carbs into sugar. With simple carbs; sugar, honey, syrup, etc. the body converts these quickly causing your blood sugar to spike so avoid these. Complex carbs like rice, oatmeal, beans, etc. take longer to convert so your blood sugar doesn't spike, but it will still go up. You also have to be careful not to eat too much protein. Protein won't effect your blood sugar, but will effect your kidneys which are already working overtime trying to get rid of the excess sugar. Make an appointment and talk with a dietitian. In the meantime practice portion control. That's where most of us get in trouble. 1/2 Cup is a serving of starch like corn, beans, pasta, potatoes. 1 Cup is a serving of raw veggies and 1/2 Cup cooked veggies = a serving. 1 oz. of meat = 1 serving of meat. Watch your diet and talk with a dietitian and you should be able to control your diabetes without having to go on meds. OH and always carry some hard candy with you in case your blood sugar gets too low. Good luck with this.",diabetic diet,35-44 years old,,,,,,,,,,,,,,,NA,NA,,,,,,,Yes,"My question is, what is the basic principal of eating as a diabetic?",,,,,Not applicable
1588986,how to increase job/ studies interest in Schizoprenic patients???,"my son who is now 22, developed psychosis symptoms about three years back. since then he has lost interest in Studues/Job. We have tried various options . But for one reason or the other he keeps on aborting the plans.He develops anxiety, as soon as we try to finalize a plan. He has gone thru depressive phase as well. he is on 2mg respideral these days. He was prescribed various other medications in the beginning as well . Presently he is practicaly not doing anything. He also regulary visits Psychiatrist. Her overall assessment is that he is a kind of Schizophrtenic. He also addicterd on Cannabis.
Please advise how can we develop/incease his interest in a job/small business at least.","Tough situation as lack of motivation is a symptom of schizophrenia. It sounds as if he may have a somewhat complex symptom picture including both depression and schizophrenia symptoms. Don't know what he was like before developing symptoms of psychosis, but if he has always tended to be shy, or amotivated then schizophrenia makes these traits more pronounced.

At any rate, it may be that making the jump to a job or studies is too big a jump to make right now. It is also often difficult for you as a parent to be the one who motivates your adult child with a mental illness. I would suggest looking in your community for a community program that would involve your son in some activities that might be a precursor to job/studies. Psychosocial rehabilitation, day treatment, and other rehabilitation programs can be quite helpful. Call your local mental health association, ask your psychiatrist, or call the local mental health center for a referral to a rehabilitation program. 

Hang in there as this is a long-term problem with which you must deal. Ideally you would like to have your child work his way to more independance, but it might be a slow journey. Get some help from people who know how to do this. You might also find out if there is a support group for parents with schizophrenic children--these groups can be very helpful in providing information and support. The National Alliance for the Mentally Ill is an organization that can provide lots of assistance. Also check out the web links below.",Schizoprenic,,,NA,,,NA,NA,,,,,,,,,,,,,,,,,Yes,Please advise how can we develop/incease his interest in a job/small business at least.,,,,,Not applicable
505163,Curing Cancer through Holistic Healing?,"Has anyone heard of this or had experiences with it? I've heard stories of people curing (not treating) their cancer mainly through using the power of their mind. Basically training their body to purify itself of cancerous cells and agents, and also by eating in healthy ways and all that.

Please share any constructive sources or stories or any info you may have. 10 pts to the most helpful, and good karma to all the rest. :)","Holistic healing does work, but you must change your lifestyle and be a believer.  not just say that you are a believer in God, but you must live and eat like you believe in God.  you must eat nutritious, wholesome, high fiber foods that come from their natural states.  try not to eat chemically treated foods.  get supplements, sweeteners and other natural foods from health food stores, farmer's markets and grocery stores that sell organic and pure foods.  eat a diet of high fiber, brightly colored fruits, vegetables, berries, whole grain, soy, foods and lean chicken and fish.  stay away from processed foods as much as possible.  pray and try to live by God's wishes.  drink a lot of green tea, red tea, and use healthful sweeteners such as Stevia and Royal Jelly.  Drink and eat a lot of green leafy type foods.  you can do it. but you must rest your problems in God's hands and let Him help you.",Cancer,,,NA,,,,,,,,,,,,,,,,,,,,,Yes,Please share any constructive sources or stories or any info you may have.,,,,,No
847613,Is ten milligrams of Topomax a negligible dosage for treating Bipolar disorder?,"My fiance is bipolar, and she's taking Topomax.  Personally, I think she should be on something else, but that's not what this question is about.

She gets her medication from a free clinic, so we don't always have alot of pills for her.  It's just not all that reliable, unfortunately.  So she just takes 10 milligrams a day, in order to stretch them out.

I think she could really raise her success rate with these pills by upping the dose to 25 mg a day.  At least until we can afford to regularly purchase her medication at a pharmacy... 

So is 10mg even worth taking though?","no.if her doctor tells her to take 10mg then she can take tha.or if the people at the clinic tell her that.but just to be sure,she should really take 25mg incase something happens like, massive headaches.",treating Bipolar disorder,,,NA,,,NA,NA,,,,,,,,,,,,,,,,,Yes,So is 10mg even worth taking though?,,,,,Not applicable
1604642,What causes back and chest pain in teen?,"I'm a teen and experienced severe back and chest pain that seemed to move in location in response to physical movement.  It was extremely painful and hard to breath, but I did not have an irregular or fast heartbeat.  It happened about four times in an hour and then went completely away and it's been more than a day, but now I have severe cold symptoms and a low fever.  Any idea what it is?  I thought pneumonia or bronchitis?",The back and chest problems could be from having heavy backpacks with all your books in them. I have the same problem and I am still suffering from some of those symptoms and I believe it is from carrying heavy backpacks for all those years that we have been in school.,back and chest pain,,,NA,,,,,,,,,,,NA,NA,NA,NA,,,,,,,Yes,What causes back and chest pain in teen?,,,,,Not applicable
2549550,"Best cleanser & moisturizer for dry skin, but with bad acne?","My skin is dry already, but I still get horrible acne in my T zone, and on my cheeks. Then I use acne medication, like netrogena, and it just turns completely dry and no moisturizer I've used have made an difference. And to top it off, I'm just smoothering my zits with it, so I feel like it's just going to make the acne worse.

What cleanser will really really work, like fast as a days time?
Any other methods work? Like freezing, or any home made remedies?
And what is hands down the best oil free moistureizer that I don't have to feel worried about putting on my skin, bought at drugstores?","Dry skin always so irritating...I hate it so much...I suggest you try using Zenmend Derma Lotion from Zenmed or Autopalm from Skinstore.com.

Zenmed has no side effects and it's non-irritant to the 
skin. It's proven to works fast and it povides Maximum 
results! It's certainly a good lotion to prevent further 
outbreaks.

Another product that I think is effective is Atopalm. This dry skin mlm is one of the best seller at skinstore.com now. (Skinstore.com holds more than 10,000 skin care products) It's pretty effective, and worth the dollar paid out.

Zenmed Products Reviews 
http://www.dry-skin-care-guide.com/zenmed-product-reviews.html

Do check this website out...
http://www.dry-skin-care-guide.com


Home Remedies For Dry Skin 
http://www.dry-skin-care-guide.com/product-reviews.html",bad acne,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,Yes,"What cleanser will really really work, like fast as a days time?",,,,,No
60274,What can I do to help raise my blood pressure?,"I believe I may have unhealthily low blood pressure. i seem to have the symptoms, including diziness and neck pain. 

I've googled a few times with no luck. But what can I do to solve this problem. Ihave been feeling very dizzy lately and I think the low blood pressure may also be affecting my concentration. It's sometimes as if I'm drunk, without actually being drunk and I don't like it one bit.

What can I do?","Blood pressure is good when its low... You should drink a lot of liquids, ( I personally keep a salty food when I get dizzy from low blood pressure) Make sure you are eating enough protein and getting sufficient iron. You may be dehydrated or undernourished. If your dizziness persists, you may need to go to an ent... it may be due to lack of equilibrium",low blood pressure,,,NA,,,,,,,,,,,NA,NA,NA,NA,,,,,,,Yes,Yes:,,,,,Not applicable
76991,Loss of appetite and vomiting.  What do I have?,"About 5 days ago I got really sick and was vomiting all night, and then I had diarreah.  I thought that it could have been food poisoning, but I am not sure.  Well, since then, I have had no appetite, and any little amount of food that I eat makes me feel ill to my stomach.  I usually have a great appetite and seem to eat too much.  I have lost 8lbs.  Is this some type of flu or is it something more serious?

Thank you.","You might have a liver infection or gallbladder problems, or something else. Go see a doctor. In the meantime, drink herbal tea and as much water as you can.","vomiting, diarreah",,,NA,,,,,,,,,,,NA,NA,NA,NA,,,,,,,Yes,Yes:,,,,,Not applicable
128721,Respiratory Question?,"(I don't know what happened, the question I asked a minute ago go deleted for no appearent reason may be a repeat) Anyway, in 6th grade I developed a chronic cough, and in 8th grade was diagnosed with cough varient asthma. Somewhere from 7th grade to 9th grade (not sure exactly when), I started coughing up small, but very frequent very yellow (but thankfully not bloody) sputum, which is worse in the morning, and late afternoon. I have had bronchitis three times in the past two years, and have been exposed to alot of dust (once I had bronchitis and was around alot of dust). My cough, according to those I have asked, sounds mostly dry, but sort of raspy and some say rattly at times. It sounds more rattly when I exercise. I do not smoke, and never have. What might be causing this?","If you were diagnosed with variant asthma you have a respiratory problem......your bronchial tubes do not open all of the way which causes the cough.  There are many causes anywhere from anxiety, stress, environment including smoke, the trees, the grass, perfume, dust, etc.....I have asthma and alll of these are the causes and much more.....and it worsens with stressful situations so it's best to remain calm as much as possible.                     You need to see a doctor if you are getting chronic bronchitis.....you don't want to get this every year....asthma can be treated quite effectively today.",chronic cough,,,NA,,,,,,,,,,,NA,NA,NA,NA,,,,,,,Yes,Yes:,,,,,Not applicable
3580886,Could i be pregnant and experiencing Implantation bleeding ?,"my husband and i have been TTC for 4 months i stopped the pill at this time also. I have a 28 day cylce usually and on my 17th day (day 1 being first day of period) i begun slight bleeding, it has gone from slight to a pretty normal but not heavy flow. i am now on my 20th day and it's slowing off but is still and has always been a light pinkish, no clots though. my husband and i had made love each night of days 9-11 and 12-15 could i be experiencing Implantation bleeding or is it just my monthlies come early?? any ideas, and could i test now?? :)","well, being as this is occuring in the middle of your cycle, I would venture to guess that it is absolutely possible!  Good luck!",Implantation bleeding,,Female,NA,,,,,,,,,,,,,,,,,,,,,Yes,Yes: Could i be pregnant and experiencing Implantation bleeding ?,,,,,Other:
241434,Probability of spreading oral herpes?,"I have had fever blisters ever since i was little.  I've always been unsure of how contagious they are, and now I get the impression I could spread them to anybody I have intimate physical contact with.  Are they so contagious, even *without* an outbreak, that i need to tell everybody I've ever kissed before that they could potentially be spreading oral herpes as well as to other areas?  My fever blisters heal in two days with medication.  Is the healing time that quick for genital herpes?

People with a medical background answering this question would be more helpful...Thanks!","I am sorry to say but Mike is WRONG:
There are two types of Herpes,  Herpes simplex type I or II. Either type can infect the mouth or genitals (if you're really unlucky you can have 4 lifelong infections going at the same time: HSV1 and 2 in the upper body, HSV1 and 2 in the lower body. This would be very rare). When your incfected, the virus """"hides"""" in the nervous system between outbreaks. It will protect you from a new infection of the same type, not of another type.
Only about 25% of Americans over the age of 12 DO NOT have antibodies against one of the two (standard test for exposure and infection).
HSV1 is extremely prevalent (very easy to pass on, quite innocently, just by an injudicious kiss to a baby). Most everybody (up to 90% of the population) has antibodies against HSV1 by the time they're 50.
About 20 to 30% of the population has antibodies against HSV2, more women than men (infection is easier for females), but HSV1 is fast becoming a major cause of genital herpes.
Most people with HSV1 have just """"fever blisters"""". Some have it bad, a terrible rash from the nose down to the chest, inside the mouth, it looks like a case of pox. It can last a few days to over a week. Genital herpes is basically the same on the genitals, blisters and lesions, individually different how bad. 

Now about transmission: It mostly happens when you have a blister/blisters going, through direct skin-to-skin contact. Avoid physical contact with the area from the time of the first symptoms (tingling, itching, burning) until all sores are completely healed, not just scabbed-over. Also try to prevent self-infection to other areas of your body. Wash your hands with soap and water if you touch a sore. Better yet, don't touch the sores.
Unfortunately, the virus can sometimes  spread , when no signs or symptoms are present. This is called """"Asymptomatic Transmission."""" Often people don't know they are infected, these people may have symptoms so mild they don't notice them at all or else don't recognize them as herpes. They can also spread it. Still, asymptomatic transmission appears to be far less likely than spreading the virus when lesions are present.",oral herpes,,,NA,,,,,,,,,,,NA,NA,NA,NA,,,,,,,Yes,Yes: Probability of spreading oral herpes?,,,,,Not applicable
4289826,Breast Tenderness as First Sign...?,"Please bear with me:
I usually have breast tenderness/pain the week before my period. A lot of women on here, and a lot of things I've read on other sites, say that breast tenderness is often one of the first signs of pregnancy. So:

-Because I am ""prone"" to breast tenderness (before my period), is it most likely that this will be one of my first signs? (I realize that it is different for everyone, and I am not looking for a psychic reading here - I guess I just want an opinion based on these facts and your own experiences)

-How early did YOU feel breast tenderness in your pregnancy?

-Was it YOUR first sign?

(I don't have any tenderness yet, but I only ovulated a week ago, so I don't expect to for a bit....I have had a couple things that I could call signs or symptoms, but I don't want to jump to any conclusions)",breast tenderness is one of the 1st signs but the tenderness is caused by milk ducts so if you feel your breast and you feel lumps that would be pregnant not period also you will notice a change in your discharge it will be heavyer and more mucus like.,pregnancy and breast tenderness,,Female,,,,,,,,,,,,,,,,,,,,,,Yes,Breast Tenderness as First Sign...?,,"-Because I am ""prone"" to breast tenderness (before my period), is it most likely that this will be one of my first signs?",,,No
1833993,Could I still be pregnant?,"I usually have a 29 day cycle and this month I would have O'd around June 10 or 11th. Days which I had intercourse. I've been having the early signs of pregnancy, sore bb's, light abdominal cramps, very tired, nauseated at times, super smell and headache. My period is due on Saturday (June 24th) and if not then in the subsequent days after that. I took a HPT this morning and it was neg. Could I still be pregnant? And if so, when should I test again?","HPTs are most effective 5 days after a missed period. They advertise that they can be effective as early as 4 days before to make you buy more tests!

I suggest that you want until day 7 and test first thing in the morning when the hormone concentration in your urine in highest. Remember, the positive line can be very faint, but even a faint line is a positive. Sometimes it can take ten minutes to make out a very slight pink line. Be patient. 

Good luck and let us know what happens.",Could I still be pregnant?,,,NA,,,,,,,,,,,,,NA,NA,,,,,,,Yes,"And if so, when should I test again?",,Could I still be pregnant?,,,Not applicable
3792829,I need some advice on what I should do about chronic knee pains.?,"My knees usually are always very stiff and sometimes its painful just to walk. I don't want to go through surgery right now because I can't really afford to do it. But I have been missing alot of work due to my knee problems. I'm 30 years old and in fairly good shape, I think I might have injured my knees over time from doing heavy leg lifts. I'm pretty much looking for a quick fix to my problem and any info would be appreciated. Thank you.","sounds like arthritis . . .I have it myself in most of my joints.  Advil, regular walking, a knee brace and will power.  That's all you can do really.",chronic knee pains,25-34 years old,,NA,But I have been missing alot of work due to my knee problems.~~~,chronic knee pains,,,,,,,,,,,NA,NA,,,,,,,Yes,Yes:  I'm pretty much looking for a quick fix to my problem and any info would be appreciated.,"Yes:  I'm 30 years old and in fairly good shape, I think I might have injured my knees over time from doing heavy leg lifts.",,,,Yes: I have it myself in most of my joints.
661270,causes of pelvic pain?,"I am a 39 year old woman, had tubes tied about 10 years ago and in the last week I have had pain in my lower pelvic area. Not on either side but more all the way across, from one side to another. It has just been off and on til today it seems to be a little more. It's not horrible pain but it is noticeable and there are times that there are sharp pains with the constant pain...anyone have any idea what it might be...just started all of sudden and it's not time for my period. I have a doctors appt on Tuesday but just thought I would see if anyone had any ideas what it might be..oh and also want to add, not sure if it is related but I have also had changes in my bowel moments, been having a lot of gas and also having and/or feeling like have to urinate alot more then normal.

Tamitha","Acute pelvic pain is pain that starts over a short period of time anywhere from a few minutes to a few days. This type of pain is often a warning sign that something is wrong and should be evaluated promptly. 
Pelvic pain can be caused by an infection or inflammation. An infection doesn't have to affect the reproductive organs to cause pelvic pain. Pain caused by the bladder, bowel, or appendix can produce pain in the pelvic region; diverticulitis, irritable bowel syndrome, kidney or bladder stones, as well as muscle spasms or strains are some examples of non-reproductive causes of pelvic or lower abdominal pain. Other causes of pelvic pain can include pelvic inflammatory disease (PID), vaginal infections, vaginitis, and sexually transmitted diseases (STDs). All of these require a visit to your healthcare provider who will take a medical history, and do a physical exam which may include diagnostic testing. 

Women who have ovarian cysts may experience sharp pain if a cyst leaks fluid or bleeds a little, or more severe, sharp, and continuous pain when a large cyst twists. Fortunately, most small cysts will dissolve without medical intervention after 2 or 3 menstrual cycles; however large cysts and those that don't rectify themselves after a few months may require surgery to remove the cysts. 

An ectopic pregnancy is one that starts outside the uterus, usually in one of the fallopian tubes. Pain caused by an ectopic pregnancy usually starts on one side of the abdomen soon after a missed period, and may include spotting or vaginal bleeding. Ectopic pregnancies can be life-threatening if medical intervention is not sought immediately. The fallopian tubes can burst and cause bleeding in the abdomen, if left untreated. In some cases surgery is required to remove the affected fallopian tube.",pelvic pain?,35-44 years old,Female,NA,,,NA,NA,,,,,,,,,,,,,,,,,Yes,.anyone have any idea what it might be,,,,,Not applicable
172536,Mircobology Question?,"This 60 year old woman w/a past medical history of a gastric ulcer had a recently noted symptoms of dyspepsia. She characterized her discomfort as a pressure in the upper abdominal area that radiated to her chest and neck. She underwent an upper gastrointertinal series which showed radiologic findings compatible with a tickened fold w/in the stomach. and outpatient esophagogastroduodenoscopy (EGD) was performed. A biopsy of the antral portion of the stomachwas consistent w/moderate gastritis. No tumor was seen. In addition, the biopsy demonstrated 3+ to 4+ of a bacterial organism.
1. What bacterium has been associated w/chronic gastritis?
2.What clinical syndromes, other than chronic gastritis, have been linked to this organism
3 other than histopathologic exam of a biopsy specimen how can infection w/this organsim be diagnosed
4 what is the epidemiology of infection w/this organsim
5 what special properties of this organism allow it to live in rather inhospitable envir in stomach","1. H. pylori
2. gastric and duodenal cancer
3. ammonia in the breath
4. lives in the stomach for years
5. H. pylori has urease, it can turn urea into ammonia and carbon dioxide, raising the pH

10 points",Mircobology,,,,,,,,,,,,,,NA,NA,,,,,,,,,Yes,"1. What bacterium has been associated w/chronic gastritis? 2.What clinical syndromes, other than chronic gastritis, have been linked to this organism 3 other than histopathologic exam of a biopsy specimen how can infection w/this organsim be diagnosed 4 what is the epidemiology of infection w/this organsim 5 what special properties of this organism allow it to live in rather inhospitable envir in stomach",,,,,Not applicable
1301700,I have really bad stomach pains?,"This happens almost everyday when I'm in school. Usually around third period I get really bad pains in my stomach and it gets so bad that I can't concentrate on my work and it is very uncomfotable. I used to think that this was because I didn't eat much of a breakfast, but I usually have a milkshake with fruits in the morning, so I don't see how I could be getting pains from being hungry. Any ideas as to why I keep getting these pains ?","Maybe you are lactose intolerant. That could cause all of the discomfort. check out this web site.
http://digestive.niddk.nih.gov/ddiseases/pubs/lactoseintolerance/#symptoms",stomach pains,,,,,,,,,,,,,,,,,,,,,,,,Yes,Any ideas as to why I keep getting these pains ?,,,,,Not applicable
2617951,severe vaginal pain?,"woke up from a deep sleep with severe cramps, sharp pains in my vaginal area. It hurt so bad but I felt the need to go the bathroom, I sat on the toliet but I didn't have to pee. Just felt severe pain and my vagina  clenching and unclenching. Two days later while I was having sex with my boyfriend it felt weird down there so we stopped. There was blood and this bloody thick chunks of discharge. It wasn't my period as i had it two weeks before and after that hour of bleeding it stopped. Any ideas what it could have been?","go to the doctor or er, could be alot of things, endometriosis, cysts, who knows but its not normal and u should be seen, before it gets worse",vaginal pain and abnormal bleeding,,Female,,,,,,,,,,,,,,,,,,,,,,Yes,Any ideas what it could have been?,,,,,Not applicable
713164,Lightheadedness upper right and left quadrant irritation.. what is causing it?,"For about a month and a half I have been lightheaded nearly 24/7. The doctor gave me something for sinus. Still I am lightheaed round the clock, and now I am starting to get some irritation in my upper left and upper right quadrant. I recently had a stress test and echo, so I know it is not a heart problem. I had blood work a year ago and everything showed up fine. Any suggestions? Last time I went through this I found out I had lactose intolerance. I have been going through alot of dental work in the past year, and do not have a stressful life. What could be causing this? Any advice would be helpful.",Sounds like shingles to me this is the time of year for it.,Lightheadedness,,,,,,,,,,,,,,,,,,,,,,,,Yes,Any suggestions? / What could be causing this? Any advice would be helpful.,,,,,Not applicable
4301681,Redness of skin in nose.?,For about three months now I have had redness of my skin where my nostrils connect to my upper lip. It doesn't itch or cause me any pain. I put neosporin on it each night when I go to bed and it doesn't seem to clear it up at all. My mom believe it is a viral infection and I should go to a dermotologist to have it check out. I don't blow/itch/pick my nose constantly so I don't think I am causing the irritation. Anyone have any ideas?,"i had something similar once...it just turned out to be super dry skin, no matter how much i moisturized it.  after 3 and a half months, it eventually went away on its own...RIGHT before my trip to the derm...ugh.

so, if the skin is very dry (i.e.  big flakes of skin can slough off) along with the redness, it could be a form of what causes dandruff on the scalp of adults and 'cradle-head' on the heads of babies...if so, you'll need a prescription lotion. (AmLactin...or something in the same area)

though, i'm definitely not a doctor...in which case, you should make an appt. with a dermatologist to get it checked out for sure.

good luck!",Redness of skin in nose.?,,,NA,,,NA,NA,,,,,,,,,,,,,,,,,Yes,Anyone have any ideas?,,,,,Not applicable
